,id,tf
140,FEV_HUMAN.H11MO.0.B,FEV
141,FEZF1_HUMAN.H11MO.0.C,FEZF1
142,FIGLA_HUMAN.H11MO.0.D,FIGLA
143,FLI1_HUMAN.H11MO.0.A,FLI1
144,FLI1_HUMAN.H11MO.1.A,FLI1
145,FOSB_HUMAN.H11MO.0.A,FOSB
146,FOSL1_HUMAN.H11MO.0.A,FOSL1
147,FOSL2_HUMAN.H11MO.0.A,FOSL2
148,FOS_HUMAN.H11MO.0.A,FOS
149,FOXA1_HUMAN.H11MO.0.A,FOXA1
150,FOXA2_HUMAN.H11MO.0.A,FOXA2
151,FOXA3_HUMAN.H11MO.0.B,FOXA3
152,FOXB1_HUMAN.H11MO.0.D,FOXB1
153,FOXC1_HUMAN.H11MO.0.C,FOXC1
154,FOXC2_HUMAN.H11MO.0.D,FOXC2
155,FOXD1_HUMAN.H11MO.0.D,FOXD1
156,FOXD2_HUMAN.H11MO.0.D,FOXD2
157,FOXD3_HUMAN.H11MO.0.D,FOXD3
158,FOXF1_HUMAN.H11MO.0.D,FOXF1
159,FOXF2_HUMAN.H11MO.0.D,FOXF2
160,FOXG1_HUMAN.H11MO.0.D,FOXG1
161,FOXH1_HUMAN.H11MO.0.A,FOXH1
162,FOXI1_HUMAN.H11MO.0.B,FOXI1
163,FOXJ2_HUMAN.H11MO.0.C,FOXJ2
164,FOXJ3_HUMAN.H11MO.0.A,FOXJ3
165,FOXJ3_HUMAN.H11MO.1.B,FOXJ3
166,FOXK1_HUMAN.H11MO.0.A,FOXK1
167,FOXL1_HUMAN.H11MO.0.D,FOXL1
168,FOXM1_HUMAN.H11MO.0.A,FOXM1
169,FOXO1_HUMAN.H11MO.0.A,FOXO1
170,FOXO3_HUMAN.H11MO.0.B,FOXO3
171,FOXO4_HUMAN.H11MO.0.C,FOXO4
172,FOXO6_HUMAN.H11MO.0.D,FOXO6
173,FOXP1_HUMAN.H11MO.0.A,FOXP1
174,FOXP2_HUMAN.H11MO.0.C,FOXP2
175,FOXP3_HUMAN.H11MO.0.D,FOXP3
176,FOXQ1_HUMAN.H11MO.0.C,FOXQ1
177,FUBP1_HUMAN.H11MO.0.D,FUBP1
178,GABPA_HUMAN.H11MO.0.A,GABPA
179,GATA1_HUMAN.H11MO.0.A,GATA1
180,GATA1_HUMAN.H11MO.1.A,GATA1
181,GATA2_HUMAN.H11MO.0.A,GATA2
182,GATA2_HUMAN.H11MO.1.A,GATA2
183,GATA3_HUMAN.H11MO.0.A,GATA3
184,GATA4_HUMAN.H11MO.0.A,GATA4
185,GATA5_HUMAN.H11MO.0.D,GATA5
186,GATA6_HUMAN.H11MO.0.A,GATA6
187,GBX1_HUMAN.H11MO.0.D,GBX1
188,GBX2_HUMAN.H11MO.0.D,GBX2
189,GCM1_HUMAN.H11MO.0.D,GCM1
190,GCM2_HUMAN.H11MO.0.D,GCM2
191,GCR_HUMAN.H11MO.0.A,NR3C1
192,GCR_HUMAN.H11MO.1.A,NR3C1
193,GFI1B_HUMAN.H11MO.0.A,GFI1B
194,GFI1_HUMAN.H11MO.0.C,GFI1
195,GLI1_HUMAN.H11MO.0.D,GLI1
196,GLI2_HUMAN.H11MO.0.D,GLI2
197,GLI3_HUMAN.H11MO.0.B,GLI3
198,GLIS1_HUMAN.H11MO.0.D,GLIS1
199,GLIS2_HUMAN.H11MO.0.D,GLIS2
200,GLIS3_HUMAN.H11MO.0.D,GLIS3
201,GMEB2_HUMAN.H11MO.0.D,GMEB2
202,GRHL1_HUMAN.H11MO.0.D,GRHL1
203,GRHL2_HUMAN.H11MO.0.A,GRHL2
204,GSC2_HUMAN.H11MO.0.D,GSC2
205,GSC_HUMAN.H11MO.0.D,GSC
206,GSX1_HUMAN.H11MO.0.D,GSX1
207,GSX2_HUMAN.H11MO.0.D,GSX2
208,HAND1_HUMAN.H11MO.0.D,HAND1
209,HAND1_HUMAN.H11MO.1.D,HAND1
210,HBP1_HUMAN.H11MO.0.D,HBP1
211,HEN1_HUMAN.H11MO.0.C,NHLH1
212,HES1_HUMAN.H11MO.0.D,HES1
213,HES5_HUMAN.H11MO.0.D,HES5
214,HES7_HUMAN.H11MO.0.D,HES7
215,HESX1_HUMAN.H11MO.0.D,HESX1
216,HEY1_HUMAN.H11MO.0.D,HEY1
217,HEY2_HUMAN.H11MO.0.D,HEY2
218,HIC1_HUMAN.H11MO.0.C,HIC1
219,HIC2_HUMAN.H11MO.0.D,HIC2
220,HIF1A_HUMAN.H11MO.0.C,HIF1A
221,HINFP_HUMAN.H11MO.0.C,HINFP
222,HLF_HUMAN.H11MO.0.C,HLF
223,HLTF_HUMAN.H11MO.0.D,HLTF
224,HMBX1_HUMAN.H11MO.0.D,HMBOX1
225,HME1_HUMAN.H11MO.0.D,EN1
226,HME2_HUMAN.H11MO.0.D,EN2
227,HMGA1_HUMAN.H11MO.0.D,HMGA1
228,HMGA2_HUMAN.H11MO.0.D,HMGA2
229,HMX1_HUMAN.H11MO.0.D,HMX1
230,HMX2_HUMAN.H11MO.0.D,HMX2
231,HMX3_HUMAN.H11MO.0.D,HMX3
232,HNF1A_HUMAN.H11MO.0.C,HNF1A
233,HNF1B_HUMAN.H11MO.0.A,HNF1B
234,HNF1B_HUMAN.H11MO.1.A,HNF1B
235,HNF4A_HUMAN.H11MO.0.A,HNF4A
236,HNF4G_HUMAN.H11MO.0.B,HNF4G
237,HNF6_HUMAN.H11MO.0.B,ONECUT1
238,HOMEZ_HUMAN.H11MO.0.D,HOMEZ
239,HSF1_HUMAN.H11MO.0.A,HSF1
240,HSF1_HUMAN.H11MO.1.A,HSF1
241,HSF2_HUMAN.H11MO.0.A,HSF2
242,HSF4_HUMAN.H11MO.0.D,HSF4
243,HSFY1_HUMAN.H11MO.0.D,HSFY1; HSFY2
244,HTF4_HUMAN.H11MO.0.A,TCF12
245,HXA10_HUMAN.H11MO.0.C,HOXA10
246,HXA11_HUMAN.H11MO.0.D,HOXA11
247,HXA13_HUMAN.H11MO.0.C,HOXA13
248,HXA1_HUMAN.H11MO.0.C,HOXA1
249,HXA2_HUMAN.H11MO.0.D,HOXA2
250,HXA5_HUMAN.H11MO.0.D,HOXA5
251,HXA7_HUMAN.H11MO.0.D,HOXA7
252,HXA9_HUMAN.H11MO.0.B,HOXA9
253,HXB13_HUMAN.H11MO.0.A,HOXB13
254,HXB1_HUMAN.H11MO.0.D,HOXB1
255,HXB2_HUMAN.H11MO.0.D,HOXB2
256,HXB3_HUMAN.H11MO.0.D,HOXB3
257,HXB4_HUMAN.H11MO.0.B,HOXB4
258,HXB6_HUMAN.H11MO.0.D,HOXB6
259,HXB7_HUMAN.H11MO.0.C,HOXB7
260,HXB8_HUMAN.H11MO.0.C,HOXB8
261,HXC10_HUMAN.H11MO.0.D,HOXC10
262,HXC11_HUMAN.H11MO.0.D,HOXC11
263,HXC12_HUMAN.H11MO.0.D,HOXC12
264,HXC13_HUMAN.H11MO.0.D,HOXC13
265,HXC6_HUMAN.H11MO.0.D,HOXC6
266,HXC8_HUMAN.H11MO.0.D,HOXC8
267,HXC9_HUMAN.H11MO.0.C,HOXC9
268,HXD10_HUMAN.H11MO.0.D,HOXD10
269,HXD11_HUMAN.H11MO.0.D,HOXD11
270,HXD12_HUMAN.H11MO.0.D,HOXD12
271,HXD13_HUMAN.H11MO.0.D,HOXD13
272,HXD3_HUMAN.H11MO.0.D,HOXD3
273,HXD4_HUMAN.H11MO.0.D,HOXD4
274,HXD8_HUMAN.H11MO.0.D,HOXD8
275,HXD9_HUMAN.H11MO.0.D,HOXD9
276,ID4_HUMAN.H11MO.0.D,ID4
277,IKZF1_HUMAN.H11MO.0.C,IKZF1
278,INSM1_HUMAN.H11MO.0.C,INSM1
279,IRF1_HUMAN.H11MO.0.A,IRF1
280,IRF2_HUMAN.H11MO.0.A,IRF2
281,IRF3_HUMAN.H11MO.0.B,IRF3
282,IRF4_HUMAN.H11MO.0.A,IRF4
283,IRF5_HUMAN.H11MO.0.D,IRF5
284,IRF7_HUMAN.H11MO.0.C,IRF7
285,IRF8_HUMAN.H11MO.0.B,IRF8
286,IRF9_HUMAN.H11MO.0.C,IRF9
287,IRX2_HUMAN.H11MO.0.D,IRX2
288,IRX3_HUMAN.H11MO.0.D,IRX3
289,ISL1_HUMAN.H11MO.0.A,ISL1
290,ISL2_HUMAN.H11MO.0.D,ISL2
291,ISX_HUMAN.H11MO.0.D,ISX
292,ITF2_HUMAN.H11MO.0.C,TCF4
293,JDP2_HUMAN.H11MO.0.D,JDP2
294,JUNB_HUMAN.H11MO.0.A,JUNB
295,JUND_HUMAN.H11MO.0.A,JUND
296,JUN_HUMAN.H11MO.0.A,JUN
297,KAISO_HUMAN.H11MO.0.A,ZBTB33
298,KAISO_HUMAN.H11MO.1.A,ZBTB33
299,KAISO_HUMAN.H11MO.2.A,ZBTB33
300,KLF12_HUMAN.H11MO.0.C,KLF12
301,KLF13_HUMAN.H11MO.0.D,KLF13
302,KLF14_HUMAN.H11MO.0.D,KLF14
303,KLF15_HUMAN.H11MO.0.A,KLF15
304,KLF16_HUMAN.H11MO.0.D,KLF16
305,KLF1_HUMAN.H11MO.0.A,KLF1
306,KLF3_HUMAN.H11MO.0.B,KLF3
307,KLF4_HUMAN.H11MO.0.A,KLF4
308,KLF5_HUMAN.H11MO.0.A,KLF5
309,KLF6_HUMAN.H11MO.0.A,KLF6
310,KLF8_HUMAN.H11MO.0.C,KLF8
311,KLF9_HUMAN.H11MO.0.C,KLF9
312,LBX2_HUMAN.H11MO.0.D,LBX2
313,LEF1_HUMAN.H11MO.0.A,LEF1
314,LHX2_HUMAN.H11MO.0.A,LHX2
315,LHX3_HUMAN.H11MO.0.C,LHX3
316,LHX4_HUMAN.H11MO.0.D,LHX4
317,LHX6_HUMAN.H11MO.0.D,LHX6
318,LHX8_HUMAN.H11MO.0.D,LHX8
319,LHX9_HUMAN.H11MO.0.D,LHX9
320,LMX1A_HUMAN.H11MO.0.D,LMX1A
321,LMX1B_HUMAN.H11MO.0.D,LMX1B
322,LYL1_HUMAN.H11MO.0.A,LYL1
323,MAFA_HUMAN.H11MO.0.D,MAFA
324,MAFB_HUMAN.H11MO.0.B,MAFB
325,MAFF_HUMAN.H11MO.0.B,MAFF
326,MAFF_HUMAN.H11MO.1.B,MAFF
327,MAFG_HUMAN.H11MO.0.A,MAFG
328,MAFG_HUMAN.H11MO.1.A,MAFG
329,MAFK_HUMAN.H11MO.0.A,MAFK
330,MAFK_HUMAN.H11MO.1.A,MAFK
331,MAF_HUMAN.H11MO.0.A,MAF
332,MAF_HUMAN.H11MO.1.B,MAF
333,MAX_HUMAN.H11MO.0.A,MAX
334,MAZ_HUMAN.H11MO.0.A,MAZ
335,MAZ_HUMAN.H11MO.1.A,MAZ
336,MBD2_HUMAN.H11MO.0.B,MBD2
337,MCR_HUMAN.H11MO.0.D,NR3C2
338,MECP2_HUMAN.H11MO.0.C,MECP2
339,MEF2A_HUMAN.H11MO.0.A,MEF2A
340,MEF2B_HUMAN.H11MO.0.A,MEF2B
341,MEF2C_HUMAN.H11MO.0.A,MEF2C
342,MEF2D_HUMAN.H11MO.0.A,MEF2D
343,MEIS1_HUMAN.H11MO.0.A,MEIS1
344,MEIS1_HUMAN.H11MO.1.B,MEIS1
345,MEIS2_HUMAN.H11MO.0.B,MEIS2
346,MEIS3_HUMAN.H11MO.0.D,MEIS3
347,MEOX1_HUMAN.H11MO.0.D,MEOX1
348,MEOX2_HUMAN.H11MO.0.D,MEOX2
349,MESP1_HUMAN.H11MO.0.D,MESP1
350,MGAP_HUMAN.H11MO.0.D,MGA
351,MITF_HUMAN.H11MO.0.A,MITF
352,MIXL1_HUMAN.H11MO.0.D,MIXL1
353,MLXPL_HUMAN.H11MO.0.D,MLXIPL
354,MLX_HUMAN.H11MO.0.D,MLX
355,MNX1_HUMAN.H11MO.0.D,MNX1
356,MSX1_HUMAN.H11MO.0.D,MSX1
357,MSX2_HUMAN.H11MO.0.D,MSX2
358,MTF1_HUMAN.H11MO.0.C,MTF1
359,MXI1_HUMAN.H11MO.0.A,MXI1
360,MXI1_HUMAN.H11MO.1.A,MXI1
361,MYBA_HUMAN.H11MO.0.D,MYBL1
362,MYBB_HUMAN.H11MO.0.D,MYBL2
363,MYB_HUMAN.H11MO.0.A,MYB
364,MYCN_HUMAN.H11MO.0.A,MYCN
365,MYC_HUMAN.H11MO.0.A,MYC
366,MYF6_HUMAN.H11MO.0.C,MYF6
367,MYNN_HUMAN.H11MO.0.D,MYNN
368,MYOD1_HUMAN.H11MO.0.A,MYOD1
369,MYOD1_HUMAN.H11MO.1.A,MYOD1
370,MYOG_HUMAN.H11MO.0.B,MYOG
371,MZF1_HUMAN.H11MO.0.B,MZF1
372,NANOG_HUMAN.H11MO.0.A,NANOG
373,NANOG_HUMAN.H11MO.1.B,NANOG
374,NDF1_HUMAN.H11MO.0.A,NEUROD1
375,NDF2_HUMAN.H11MO.0.B,NEUROD2
376,NF2L1_HUMAN.H11MO.0.C,NFE2L1
377,NF2L2_HUMAN.H11MO.0.A,NFE2L2
378,NFAC1_HUMAN.H11MO.0.B,NFATC1
379,NFAC1_HUMAN.H11MO.1.B,NFATC1
380,NFAC2_HUMAN.H11MO.0.B,NFATC2
381,NFAC3_HUMAN.H11MO.0.B,NFATC3
382,NFAC4_HUMAN.H11MO.0.C,NFATC4
383,NFAT5_HUMAN.H11MO.0.D,NFAT5
384,NFE2_HUMAN.H11MO.0.A,NFE2
385,NFIA_HUMAN.H11MO.0.C,NFIA
386,NFIA_HUMAN.H11MO.1.D,NFIA
387,NFIB_HUMAN.H11MO.0.D,NFIB
388,NFIC_HUMAN.H11MO.0.A,NFIC
389,NFIC_HUMAN.H11MO.1.A,NFIC
390,NFIL3_HUMAN.H11MO.0.D,NFIL3
391,NFKB1_HUMAN.H11MO.1.B,NFKB1
392,NFKB2_HUMAN.H11MO.0.B,NFKB2
393,NFYA_HUMAN.H11MO.0.A,NFYA
394,NFYB_HUMAN.H11MO.0.A,NFYB
395,NFYC_HUMAN.H11MO.0.A,NFYC
396,NGN2_HUMAN.H11MO.0.D,NEUROG2
397,NKX21_HUMAN.H11MO.0.A,NKX2-1
398,NKX22_HUMAN.H11MO.0.D,NKX2-2
399,NKX23_HUMAN.H11MO.0.D,NKX2-3
400,NKX25_HUMAN.H11MO.0.B,NKX2-5
401,NKX28_HUMAN.H11MO.0.C,NKX2-8
402,NKX31_HUMAN.H11MO.0.C,NKX3-1
403,NKX32_HUMAN.H11MO.0.C,NKX3-2
404,NKX61_HUMAN.H11MO.0.B,NKX6-1
405,NKX61_HUMAN.H11MO.1.B,NKX6-1
406,NKX62_HUMAN.H11MO.0.D,NKX6-2
407,NOBOX_HUMAN.H11MO.0.C,NOBOX
408,NOTO_HUMAN.H11MO.0.D,NOTO
409,NR0B1_HUMAN.H11MO.0.D,NR0B1
410,NR1D1_HUMAN.H11MO.0.B,NR1D1
411,NR1D1_HUMAN.H11MO.1.D,NR1D1
412,NR1H2_HUMAN.H11MO.0.D,NR1H2
