,id,tf
528,RFX5_HUMAN.H11MO.0.A,RFX5
529,RFX5_HUMAN.H11MO.1.A,RFX5
530,RHXF1_HUMAN.H11MO.0.D,RHOXF1
531,RORA_HUMAN.H11MO.0.C,RORA
532,RORG_HUMAN.H11MO.0.C,RORC
533,RREB1_HUMAN.H11MO.0.D,RREB1
534,RUNX1_HUMAN.H11MO.0.A,RUNX1
535,RUNX2_HUMAN.H11MO.0.A,RUNX2
536,RUNX3_HUMAN.H11MO.0.A,RUNX3
537,RXRA_HUMAN.H11MO.0.A,RXRA
538,RXRA_HUMAN.H11MO.1.A,RXRA
539,RXRB_HUMAN.H11MO.0.C,RXRB
540,RXRG_HUMAN.H11MO.0.B,RXRG
541,RX_HUMAN.H11MO.0.D,RAX
542,SALL4_HUMAN.H11MO.0.B,SALL4
543,SCRT1_HUMAN.H11MO.0.D,SCRT1
544,SCRT2_HUMAN.H11MO.0.D,SCRT2
545,SHOX2_HUMAN.H11MO.0.D,SHOX2
546,SHOX_HUMAN.H11MO.0.D,SHOX
547,SIX1_HUMAN.H11MO.0.A,SIX1
548,SIX2_HUMAN.H11MO.0.A,SIX2
549,SMAD1_HUMAN.H11MO.0.D,SMAD1
550,SMAD2_HUMAN.H11MO.0.A,SMAD2
551,SMAD3_HUMAN.H11MO.0.B,SMAD3
552,SMAD4_HUMAN.H11MO.0.B,SMAD4
553,SMCA1_HUMAN.H11MO.0.C,SMARCA1
554,SMCA5_HUMAN.H11MO.0.C,SMARCA5
555,SNAI1_HUMAN.H11MO.0.C,SNAI1
556,SNAI2_HUMAN.H11MO.0.A,SNAI2
557,SOX10_HUMAN.H11MO.0.B,SOX10
558,SOX10_HUMAN.H11MO.1.A,SOX10
559,SOX11_HUMAN.H11MO.0.D,SOX11
560,SOX13_HUMAN.H11MO.0.D,SOX13
561,SOX15_HUMAN.H11MO.0.D,SOX15
562,SOX17_HUMAN.H11MO.0.C,SOX17
563,SOX18_HUMAN.H11MO.0.D,SOX18
564,SOX1_HUMAN.H11MO.0.D,SOX1
565,SOX21_HUMAN.H11MO.0.D,SOX21
566,SOX2_HUMAN.H11MO.0.A,SOX2
567,SOX2_HUMAN.H11MO.1.A,SOX2
568,SOX3_HUMAN.H11MO.0.B,SOX3
569,SOX4_HUMAN.H11MO.0.B,SOX4
570,SOX5_HUMAN.H11MO.0.C,SOX5
571,SOX7_HUMAN.H11MO.0.D,SOX7
572,SOX8_HUMAN.H11MO.0.D,SOX8
573,SOX9_HUMAN.H11MO.0.B,SOX9
574,SOX9_HUMAN.H11MO.1.B,SOX9
575,SP1_HUMAN.H11MO.0.A,SP1
576,SP1_HUMAN.H11MO.1.A,SP1
577,SP2_HUMAN.H11MO.0.A,SP2
578,SP2_HUMAN.H11MO.1.B,SP2
579,SP3_HUMAN.H11MO.0.B,SP3
580,SP4_HUMAN.H11MO.0.A,SP4
581,SP4_HUMAN.H11MO.1.A,SP4
582,SPDEF_HUMAN.H11MO.0.D,SPDEF
583,SPI1_HUMAN.H11MO.0.A,SPI1
584,SPIB_HUMAN.H11MO.0.A,SPIB
585,SPIC_HUMAN.H11MO.0.D,SPIC
586,SPZ1_HUMAN.H11MO.0.D,SPZ1
587,SRBP1_HUMAN.H11MO.0.A,SREBF1
588,SRBP2_HUMAN.H11MO.0.B,SREBF2
589,SRF_HUMAN.H11MO.0.A,SRF
590,SRY_HUMAN.H11MO.0.B,SRY
591,STA5A_HUMAN.H11MO.0.A,STAT5A
592,STA5B_HUMAN.H11MO.0.A,STAT5B
593,STAT1_HUMAN.H11MO.0.A,STAT1
594,STAT1_HUMAN.H11MO.1.A,STAT1
595,STAT2_HUMAN.H11MO.0.A,STAT2
596,STAT3_HUMAN.H11MO.0.A,STAT3
597,STAT4_HUMAN.H11MO.0.A,STAT4
598,STAT6_HUMAN.H11MO.0.B,STAT6
599,STF1_HUMAN.H11MO.0.B,NR5A1
600,SUH_HUMAN.H11MO.0.A,RBPJ
601,TAF1_HUMAN.H11MO.0.A,TAF1
602,TAL1_HUMAN.H11MO.0.A,TAL1
603,TAL1_HUMAN.H11MO.1.A,TAL1
604,TBP_HUMAN.H11MO.0.A,TBP
605,TBR1_HUMAN.H11MO.0.D,TBR1
606,TBX15_HUMAN.H11MO.0.D,TBX15
607,TBX19_HUMAN.H11MO.0.D,TBX19
608,TBX1_HUMAN.H11MO.0.D,TBX1
609,TBX20_HUMAN.H11MO.0.D,TBX20
610,TBX21_HUMAN.H11MO.0.A,TBX21
611,TBX2_HUMAN.H11MO.0.D,TBX2
612,TBX3_HUMAN.H11MO.0.C,TBX3
613,TBX4_HUMAN.H11MO.0.D,TBX4
614,TBX5_HUMAN.H11MO.0.D,TBX5
615,TCF7_HUMAN.H11MO.0.A,TCF7
616,TEAD1_HUMAN.H11MO.0.A,TEAD1
617,TEAD2_HUMAN.H11MO.0.D,TEAD2
618,TEAD3_HUMAN.H11MO.0.D,TEAD3
619,TEAD4_HUMAN.H11MO.0.A,TEAD4
620,TEF_HUMAN.H11MO.0.D,TEF
621,TF2LX_HUMAN.H11MO.0.D,TGIF2LX
622,TF65_HUMAN.H11MO.0.A,RELA
623,TF7L1_HUMAN.H11MO.0.B,TCF7L1
624,TF7L2_HUMAN.H11MO.0.A,TCF7L2
625,TFAP4_HUMAN.H11MO.0.A,TFAP4
626,TFCP2_HUMAN.H11MO.0.D,TFCP2
627,TFDP1_HUMAN.H11MO.0.C,TFDP1
628,TFE2_HUMAN.H11MO.0.A,TCF3
629,TFE3_HUMAN.H11MO.0.B,TFE3
630,TFEB_HUMAN.H11MO.0.C,TFEB
631,TGIF1_HUMAN.H11MO.0.A,TGIF1
632,TGIF2_HUMAN.H11MO.0.D,TGIF2
633,THA11_HUMAN.H11MO.0.B,THAP11
634,THAP1_HUMAN.H11MO.0.C,THAP1
635,THA_HUMAN.H11MO.0.C,THRA
636,THA_HUMAN.H11MO.1.D,THRA
637,THB_HUMAN.H11MO.0.C,THRB
638,THB_HUMAN.H11MO.1.D,THRB
639,TLX1_HUMAN.H11MO.0.D,TLX1
640,TWST1_HUMAN.H11MO.0.A,TWIST1
641,TWST1_HUMAN.H11MO.1.A,TWIST1
642,TYY1_HUMAN.H11MO.0.A,YY1
643,TYY2_HUMAN.H11MO.0.D,YY2
644,UBIP1_HUMAN.H11MO.0.D,UBP1
645,UNC4_HUMAN.H11MO.0.D,UNCX
646,USF1_HUMAN.H11MO.0.A,USF1
647,USF2_HUMAN.H11MO.0.A,USF2
648,VAX1_HUMAN.H11MO.0.D,VAX1
649,VAX2_HUMAN.H11MO.0.D,VAX2
650,VDR_HUMAN.H11MO.0.A,VDR
651,VDR_HUMAN.H11MO.1.A,VDR
652,VENTX_HUMAN.H11MO.0.D,VENTX
653,VEZF1_HUMAN.H11MO.0.C,VEZF1
654,VEZF1_HUMAN.H11MO.1.C,VEZF1
655,VSX1_HUMAN.H11MO.0.D,VSX1
656,VSX2_HUMAN.H11MO.0.D,VSX2
657,WT1_HUMAN.H11MO.0.C,WT1
658,WT1_HUMAN.H11MO.1.B,WT1
659,XBP1_HUMAN.H11MO.0.D,XBP1
660,Z324A_HUMAN.H11MO.0.C,ZNF324
661,Z354A_HUMAN.H11MO.0.C,ZNF354A
662,ZBED1_HUMAN.H11MO.0.D,ZBED1
663,ZBT14_HUMAN.H11MO.0.C,ZBTB14
664,ZBT17_HUMAN.H11MO.0.A,ZBTB17
665,ZBT18_HUMAN.H11MO.0.C,ZBTB18
